Total picks,Top 5 picks,Top 5 hit rate,Top 10 picks,Top 10 hit rate,Average Actual Finish,Average Prediction Error,RaceName,Picks
6,4,0.67,6,1.0,4.17,0.69,Japanese Grand Prix,"VER, PER, NOR, LEC, RUS, ALO"
6,3,0.5,5,0.83,6.33,1.86,Chinese Grand Prix,"VER, PER, LEC, HAM, RUS, STR"
6,3,0.5,6,1.0,4.5,0.88,Emilia Romagna Grand Prix,"VER, NOR, LEC, PER, HAM, RUS"
5,3,0.6,5,1.0,4.6,0.46,Saudi Arabian Grand Prix,"VER, LEC, PIA, RUS, HAM"
6,3,0.5,6,1.0,5.33,1.21,Miami Grand Prix,"VER, PER, LEC, ALO, HAM, RUS"
6,4,0.67,6,1.0,4.33,0.54,Spanish Grand Prix,"VER, NOR, HAM, PER, PIA, LEC"
6,3,0.5,5,0.83,5.33,0.9,United States Grand Prix,"VER, NOR, LEC, RUS, PER, MAG"
6,4,0.67,6,1.0,4.0,2.06,Austrian Grand Prix,"VER, RUS, SAI, PIA, HUL, PER"
6,4,0.67,6,1.0,4.33,0.98,Dutch Grand Prix,"VER, NOR, PIA, HAM, SAI, PER"
6,4,0.67,6,1.0,3.83,1.22,Singapore Grand Prix,"VER, NOR, PIA, SAI, HAM, RUS"
6,4,0.67,6,1.0,4.0,2.14,Mexico City Grand Prix,"VER, SAI, NOR, PIA, HAM, LEC"
6,4,0.67,6,1.0,4.33,1.61,Hungarian Grand Prix,"NOR, PIA, VER, PER, RUS, HAM"
5,4,0.8,5,1.0,3.8,0.92,Monaco Grand Prix,"LEC, NOR, PIA, HAM, RUS"
6,4,0.67,6,1.0,4.17,1.27,Canadian Grand Prix,"VER, NOR, RUS, HAM, GAS, ALO"
6,3,0.5,4,0.67,7.0,1.05,Azerbaijan Grand Prix,"PIA, LEC, VER, HAM, GAS, RIC"
6,4,0.67,5,0.83,5.67,2.45,Qatar Grand Prix,"VER, RUS, LEC, GAS, LAW, ZHO"
6,3,0.5,4,0.67,6.5,0.9,Belgian Grand Prix,"HAM, LEC, VER, MAG, STR, SAI"
6,4,0.67,6,1.0,4.17,0.92,British Grand Prix,"VER, NOR, HAM, ALO, PIA, STR"
5,4,0.8,5,1.0,3.6,1.06,Australian Grand Prix,"SAI, LEC, NOR, ALO, PIA"
6,3,0.5,6,1.0,4.83,0.9,Italian Grand Prix,"NOR, PIA, LEC, VER, MAG, RUS"
6,5,0.83,6,1.0,4.17,1.56,Las Vegas Grand Prix,"SAI, RUS, LEC, HAM, PER, VER"
6,3,0.5,6,1.0,5.67,1.21,Abu Dhabi Grand Prix,"SAI, GAS, RUS, LEC, ALO, HUL"
6,4,0.67,6,1.0,4.5,2.1,São Paulo Grand Prix,"NOR, LEC, RUS, VER, GAS, PIA"
