RaceName,Total Picks,Top 5 Hits,Top 5 Hit Rate,Top 10 Hits,Top 10 Hit Rate,Avg Finish,Avg Position Gain,DNF Count
Miami Grand Prix,6,3,0.5,5,0.83,5.33,0.33,0
British Grand Prix,6,4,0.67,6,1.0,4.33,1.33,0
Belgian Grand Prix,6,3,0.5,5,0.83,5.83,1.0,0
Italian Grand Prix,6,3,0.5,6,1.0,5.17,0.83,0
Azerbaijan Grand Prix,6,3,0.5,5,0.83,5.33,0.83,0
Australian Grand Prix,4,3,0.75,4,1.0,3.5,1.25,0
Japanese Grand Prix,6,3,0.5,6,1.0,4.67,0.0,0
Chinese Grand Prix,6,3,0.5,5,0.83,6.17,-0.33,0
Canadian Grand Prix,6,5,0.83,6,1.0,3.5,0.33,0
Hungarian Grand Prix,6,4,0.67,6,1.0,5.17,-0.17,0
São Paulo Grand Prix,6,3,0.5,4,0.67,7.33,-0.5,0
Las Vegas Grand Prix,6,4,0.67,6,1.0,4.33,0.0,0
Qatar Grand Prix,6,4,0.67,6,1.0,4.17,2.67,0
Abu Dhabi Grand Prix,6,3,0.5,6,1.0,5.33,-0.33,0
United States Grand Prix,5,3,0.6,5,1.0,4.2,1.6,0
Spanish Grand Prix,6,4,0.67,5,0.83,5.0,0.83,0
Austrian Grand Prix,6,3,0.5,6,1.0,5.17,1.83,0
Saudi Arabian Grand Prix,6,3,0.5,6,1.0,5.17,-0.33,0
Emilia Romagna Grand Prix,6,3,0.5,6,1.0,4.67,0.83,0
Monaco Grand Prix,5,4,0.8,5,1.0,3.6,0.0,0
Dutch Grand Prix,4,3,0.75,4,1.0,3.25,0.0,0
Singapore Grand Prix,4,3,0.75,4,1.0,3.0,-0.25,0
Mexico City Grand Prix,4,3,0.75,4,1.0,3.5,0.75,0
