Abbreviation,PracticeOrder,ActualGrid,Error,AbsError,RoundNumber,RaceName,Session
RUS,1,1.0,0.0,0.0,1,Australian Grand Prix,FP3
HAM,2,7.0,-5.0,5.0,1,Australian Grand Prix,FP3
LEC,3,4.0,-1.0,1.0,1,Australian Grand Prix,FP3
PIA,4,5.0,-1.0,1.0,1,Australian Grand Prix,FP3
HAD,5,3.0,2.0,2.0,1,Australian Grand Prix,FP3
VER,6,20.0,-14.0,14.0,1,Australian Grand Prix,FP3
ANT,7,2.0,5.0,5.0,1,Australian Grand Prix,FP3
NOR,8,6.0,2.0,2.0,1,Australian Grand Prix,FP3
BOR,9,10.0,-1.0,1.0,1,Australian Grand Prix,FP3
BEA,10,12.0,-2.0,2.0,1,Australian Grand Prix,FP3
LIN,11,9.0,2.0,2.0,1,Australian Grand Prix,FP3
LAW,12,8.0,4.0,4.0,1,Australian Grand Prix,FP3
OCO,13,13.0,0.0,0.0,1,Australian Grand Prix,FP3
HUL,14,11.0,3.0,3.0,1,Australian Grand Prix,FP3
GAS,15,14.0,1.0,1.0,1,Australian Grand Prix,FP3
COL,16,16.0,0.0,0.0,1,Australian Grand Prix,FP3
ALB,17,15.0,2.0,2.0,1,Australian Grand Prix,FP3
ALO,18,17.0,1.0,1.0,1,Australian Grand Prix,FP3
BOT,19,19.0,0.0,0.0,1,Australian Grand Prix,FP3
PER,20,18.0,2.0,2.0,1,Australian Grand Prix,FP3
RUS,1,2.0,-1.0,1.0,2,Chinese Grand Prix,FP1
ANT,2,1.0,1.0,1.0,2,Chinese Grand Prix,FP1
NOR,3,6.0,-3.0,3.0,2,Chinese Grand Prix,FP1
PIA,4,5.0,-1.0,1.0,2,Chinese Grand Prix,FP1
LEC,5,4.0,1.0,1.0,2,Chinese Grand Prix,FP1
HAM,6,3.0,3.0,3.0,2,Chinese Grand Prix,FP1
BEA,7,10.0,-3.0,3.0,2,Chinese Grand Prix,FP1
VER,8,8.0,0.0,0.0,2,Chinese Grand Prix,FP1
HUL,9,11.0,-2.0,2.0,2,Chinese Grand Prix,FP1
GAS,10,7.0,3.0,3.0,2,Chinese Grand Prix,FP1
LAW,11,14.0,-3.0,3.0,2,Chinese Grand Prix,FP1
BOR,12,16.0,-4.0,4.0,2,Chinese Grand Prix,FP1
HAD,13,9.0,4.0,4.0,2,Chinese Grand Prix,FP1
OCO,14,13.0,1.0,1.0,2,Chinese Grand Prix,FP1
COL,15,12.0,3.0,3.0,2,Chinese Grand Prix,FP1
ALB,16,22.0,-6.0,6.0,2,Chinese Grand Prix,FP1
SAI,17,17.0,0.0,0.0,2,Chinese Grand Prix,FP1
ALO,18,18.0,0.0,0.0,2,Chinese Grand Prix,FP1
BOT,19,19.0,0.0,0.0,2,Chinese Grand Prix,FP1
STR,20,20.0,0.0,0.0,2,Chinese Grand Prix,FP1
LIN,21,15.0,6.0,6.0,2,Chinese Grand Prix,FP1
PER,22,21.0,1.0,1.0,2,Chinese Grand Prix,FP1
ANT,1,1.0,0.0,0.0,3,Japanese Grand Prix,FP3
RUS,2,2.0,0.0,0.0,3,Japanese Grand Prix,FP3
LEC,3,4.0,-1.0,1.0,3,Japanese Grand Prix,FP3
PIA,4,3.0,1.0,1.0,3,Japanese Grand Prix,FP3
HAM,5,6.0,-1.0,1.0,3,Japanese Grand Prix,FP3
NOR,6,5.0,1.0,1.0,3,Japanese Grand Prix,FP3
HUL,7,13.0,-6.0,6.0,3,Japanese Grand Prix,FP3
VER,8,11.0,-3.0,3.0,3,Japanese Grand Prix,FP3
BOR,9,9.0,0.0,0.0,3,Japanese Grand Prix,FP3
GAS,10,7.0,3.0,3.0,3,Japanese Grand Prix,FP3
HAD,11,8.0,3.0,3.0,3,Japanese Grand Prix,FP3
LAW,12,14.0,-2.0,2.0,3,Japanese Grand Prix,FP3
LIN,13,10.0,3.0,3.0,3,Japanese Grand Prix,FP3
OCO,14,12.0,2.0,2.0,3,Japanese Grand Prix,FP3
BEA,15,18.0,-3.0,3.0,3,Japanese Grand Prix,FP3
ALB,16,17.0,-1.0,1.0,3,Japanese Grand Prix,FP3
COL,17,15.0,2.0,2.0,3,Japanese Grand Prix,FP3
SAI,18,16.0,2.0,2.0,3,Japanese Grand Prix,FP3
BOT,19,20.0,-1.0,1.0,3,Japanese Grand Prix,FP3
PER,20,19.0,1.0,1.0,3,Japanese Grand Prix,FP3
STR,21,22.0,-1.0,1.0,3,Japanese Grand Prix,FP3
ALO,22,21.0,1.0,1.0,3,Japanese Grand Prix,FP3
LEC,1,3.0,-2.0,2.0,4,Miami Grand Prix,FP1
VER,2,2.0,0.0,0.0,4,Miami Grand Prix,FP1
PIA,3,7.0,-4.0,4.0,4,Miami Grand Prix,FP1
HAM,4,6.0,-2.0,2.0,4,Miami Grand Prix,FP1
ANT,5,1.0,4.0,4.0,4,Miami Grand Prix,FP1
RUS,6,5.0,1.0,1.0,4,Miami Grand Prix,FP1
NOR,7,4.0,3.0,3.0,4,Miami Grand Prix,FP1
GAS,8,9.0,-1.0,1.0,4,Miami Grand Prix,FP1
HAD,9,22.0,-13.0,13.0,4,Miami Grand Prix,FP1
SAI,10,13.0,-3.0,3.0,4,Miami Grand Prix,FP1
COL,11,8.0,3.0,3.0,4,Miami Grand Prix,FP1
ALB,12,15.0,-3.0,3.0,4,Miami Grand Prix,FP1
BEA,13,12.0,1.0,1.0,4,Miami Grand Prix,FP1
BOR,14,21.0,-7.0,7.0,4,Miami Grand Prix,FP1
HUL,15,10.0,5.0,5.0,4,Miami Grand Prix,FP1
